id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,[video][0].url],[video][0].tag[0],[gtin],[product_tags][0],[product_tags][1],[style][0]
16,izzi 150,Tipo: Residencial | Incluye (2): Internet y Telefonía,in stock,new,610.00 MXN,https://tusitio.com/servicios/16,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
24,IzziTV HD Plus,Tipo: Residencial | Incluye (1): TV,in stock,new,310.00 MXN,https://tusitio.com/servicios/24,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_q8nhk2.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
30,Izzi 100 Megas,Tipo: Residencial | Incluye (2): Internet y Telefonía,in stock,new,540.00 MXN,https://tusitio.com/servicios/30,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
34,Izzi 100 + Izzi tv HD,"Tipo: Residencial | Incluye (3): Internet, Telefonía y TV",in stock,new,720.00 MXN,https://tusitio.com/servicios/34,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
46,Izzi Negocios 80,Tipo: Negocio | Incluye (2): Internet y Telefonía,in stock,new,590.00 MXN,https://tusitio.com/servicios/46,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
47,Izzi Negocios 150,Tipo: Negocio | Incluye (2): Internet y Telefonía,in stock,new,660.00 MXN,https://tusitio.com/servicios/47,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
48,Izzi Negocios 200,Tipo: Negocio | Incluye (2): Internet y Telefonía,in stock,new,750.00 MXN,https://tusitio.com/servicios/48,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
49,Izzi Negocios 500,Tipo: Negocio | Incluye (2): Internet y Telefonía,in stock,new,950.00 MXN,https://tusitio.com/servicios/49,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
51,Izzi Negocios 100 + Izzi TV HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,770.00 MXN,https://tusitio.com/servicios/51,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
52,Izzi Negocios 150 + Izzi TV HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,840.00 MXN,https://tusitio.com/servicios/52,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
53,Izzi Negocios 200 + Izzi TV HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,900.00 MXN,https://tusitio.com/servicios/53,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
54,Izzi Negocios 500 + Izzi TV HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,1020.00 MXN,https://tusitio.com/servicios/54,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
56,TV Basico / wizz TV 2.0,Tipo: Wizz | Incluye (1): TV,in stock,new,315.00 MXN,https://tusitio.com/servicios/56,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_q8nhk2.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
60,Wizz 3P Internet+mini 10 Mb,"Tipo: Wizz | Incluye (3): Internet, Telefonía y TV",in stock,new,595.00 MXN,https://tusitio.com/servicios/60,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
63,Izzi 80 + Izzi tv HD,"Tipo: Residencial | Incluye (3): Internet, Telefonía y TV",in stock,new,690.00 MXN,https://tusitio.com/servicios/63,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
67,Izzi 1000 + izzitv HD,"Tipo: Residencial | Incluye (3): Internet, Telefonía y TV",in stock,new,1170.00 MXN,https://tusitio.com/servicios/67,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
68,Izzi 80 Megas,Tipo: Residencial | Incluye (2): Internet y Telefonía,in stock,new,510.00 MXN,https://tusitio.com/servicios/68,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
70,wizz 10,Tipo: Wizz | Incluye (2): Internet y Telefonía,in stock,new,400.00 MXN,https://tusitio.com/servicios/70,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
84,Izzi negocios 1000 + izzitv HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,1220.00 MXN,https://tusitio.com/servicios/84,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,2,unisex,,,adult,,,,,,,,Negocio,2,
88,Wizz 50,Tipo: Wizz | Incluye (2): Internet y Telefonía,in stock,new,550.00 MXN,https://tusitio.com/servicios/88,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
